@relation notas_estudiantes

@attribute asistencia numeric
@attribute parcial numeric
@attribute tarea numeric
@attribute nota_final numeric

@data
75.02,48.85,63.86,58.59
87.09,83.92,54.24,75.65
51.88,19.46,21.77,26.64
57.52,79.21,86.59,77.09
83.8,74.19,62.83,72.7
80.63,61.92,73.1,69.02
57.59,16.73,21.69,26.39
93.06,58.23,78.63,71.32
98.43,92.82,7.99,68.49
89.99,12.49,86.84,50.3
82.26,43.72,19.82,44.26
77.18,24.11,73.51,49.54
93.0,88.96,72.66,84.88
91.92,88.26,81.64,87.01
88.6,43.76,12.49,43.35
86.88,76.74,10.45,58.88
84.05,65.18,23.47,56.44
75.38,58.71,40.12,56.47
96.37,27.67,54.45,49.44
77.74,14.78,48.41,37.46
58.11,68.85,28.5,54.6
60.68,82.97,10.62,56.81
71.56,22.28,18.48,31.0
78.34,90.46,60.34,79.0
73.33,52.43,93.4,68.9
66.99,34.8,79.0,54.5
50.84,87.63,73.49,76.03
94.24,79.85,66.5,78.72
90.54,67.02,42.28,64.3
83.54,31.42,17.86,37.78
60.52,61.57,80.23,66.96
96.98,23.87,30.05,40.35
55.57,15.08,26.06,26.47
53.88,53.22,89.02,64.09
93.45,39.42,39.51,50.25
50.45,70.79,52.32,61.18
89.61,75.55,12.43,59.43
98.37,99.17,74.25,91.53
89.83,84.15,98.07,89.46
73.08,87.79,89.57,85.38
71.11,1.5,45.88,28.74
89.36,68.8,60.49,70.42
78.68,94.23,15.34,67.45
97.91,53.27,65.87,65.98
86.5,98.93,61.38,85.18
57.17,25.86,8.93,27.04
78.29,63.74,24.54,54.89
63.73,92.75,49.4,73.94
90.12,17.83,68.1,47.37
65.85,81.03,98.16,83.13
66.65,87.97,54.86,73.77
95.37,99.72,66.27,88.81
79.02,72.7,33.07,62.08
50.31,72.69,62.37,65.12
64.75,88.89,66.19,77.25
70.46,0.51,83.51,39.4
90.17,37.62,70.77,58.08
64.58,15.51,92.52,48.43
59.3,41.03,51.26,47.75
56.72,38.96,14.72,35.24
53.13,59.42,57.5,57.59
84.5,31.05,88.01,58.83
91.17,74.84,25.23,63.22
98.88,7.72,1.7,24.15
78.3,15.4,68.11,43.79
90.08,60.73,51.4,63.8
84.75,7.89,7.99,23.29
93.71,34.82,24.97,43.64
78.44,57.47,4.86,45.88
88.64,66.98,97.9,80.59
64.1,18.68,30.41,31.28
93.89,24.13,75.12,53.38
79.1,63.86,23.4,54.77
77.44,26.69,35.83,39.58
65.84,54.72,14.63,44.92
52.19,39.74,41.29,42.7
77.73,41.13,74.25,58.39
88.2,54.96,23.09,52.05
60.17,15.02,56.95,36.63
91.73,61.84,84.89,74.73
96.7,44.09,96.92,70.46
90.54,40.14,32.09,47.8
79.07,76.58,65.48,73.75
92.93,96.96,62.83,85.92
59.15,69.09,67.49,66.62
89.43,85.68,37.53,71.99
69.73,6.39,82.96,42.03
97.3,32.46,98.07,65.11
52.72,42.72,98.45,61.44
98.18,96.86,68.71,88.68
67.37,6.7,88.95,43.51
58.3,30.92,97.33,56.32
62.82,65.33,71.82,66.77
95.97,60.59,37.72,60.81
85.29,15.33,66.07,44.54
80.05,13.25,70.15,43.68
81.74,90.76,69.97,82.72
70.03,18.1,71.86,44.61
75.56,11.61,34.63,31.31
64.6,64.95,68.52,65.95
95.45,27.66,22.99,39.82
58.28,8.25,66.89,35.85
71.36,42.86,74.55,58.07
95.49,46.01,85.23,67.67
